"File"	"Group"	"X."	"duration"	"interval"	"disttomax"	"start.time"	"end.time"	"peak.freq.start."	"peak.ampl.start."	"min.freq.start."	"max.freq.start."	"bandw.start."	"peak.freq.end."	"peak.ampl.end."	"min.freq.end."	"max.freq.end."	"bandw.end."	"peak.freq.centre."	"peak.ampl.centre."	"min.freq.centre."	"max.freq.centre."	"bandw.centre."	"peak.freq.max."	"peak.ampl.max."	"min.freq.max."	"max.freq.max."	"bandw.max."	"Especie"
"67"	"2020-02-23 22-12-35"	1	3	0.0012	"0.43"	4e-04	1.7132	1.7144	91253	-57.18	77812	134062	56250	88145	-58.31	75000	115312	40312	91246	-55.31	77500	127500	50000	91246	-55.31	77500	127500	50000	"Centurio senex"
"68"	"2020-02-23 22-12-35"	1	4	8e-04	"2.3599999999999999E-2"	4e-04	1.7368	1.7376	89083	-58.01	77500	137187	59687	85322	-58.69	76875	134687	57812	89078	-57.23	77187	135937	58750	89078	-57.23	77187	135937	58750	"Centurio senex"
"69"	"2020-02-23 22-12-35"	1	5	0.0016	"2.1999999999999999E-2"	8e-04	1.7588	1.7604	89387	-59.58	74687	135312	60625	85951	-58.33	73437	112187	38750	86252	-54.18	73437	115000	41562	86252	-54.18	73437	115000	41562	"Centurio senex"
"70"	"2020-02-23 22-12-35"	1	6	4e-04	"3.4000000000000002E-2"	0	1.7928	1.7932	92185	-58.87	76250	135625	59375	92183	-58.42	75625	134375	58750	92185	-58.87	76250	135625	59375	92185	-58.87	76250	135625	59375	"Centurio senex"
"71"	"2020-02-23 22-12-35"	1	7	8e-04	"2.4E-2"	4e-04	1.8168	1.8176	90618	-57.19	75937	132500	56562	89077	-58.58	72812	129687	56875	89077	-56.75	73750	130000	56250	89077	-56.75	73750	130000	56250	"Centurio senex"
"72"	"2020-02-23 22-12-35"	1	8	8e-04	"3.9376000000000002"	4e-04	5.7544	5.7552	86863	-59.19	76562	104062	27500	83754	-59.82	75937	98437	22500	83766	-58.43	76250	99687	23437	83766	-58.43	76250	99687	23437	"Centurio senex"
"73"	"2020-02-23 22-12-35"	1	9	8e-04	"4.5600000000000002E-2"	4e-04	5.8	5.8008	91568	-58.34	78750	132187	53437	87197	-57.94	78125	106562	28437	91561	-57.21	78437	115312	36875	91561	-57.21	78437	115312	36875	"Centurio senex"
"74"	"2020-02-23 22-12-35"	1	10	0.0016	"2.0400000000000001E-2"	8e-04	5.8204	5.822	85930	-55.32	76875	121250	44375	84696	-57.92	75937	96562	20625	85927	-51.89	76562	111875	35312	85927	-51.89	76562	111875	35312	"Centurio senex"
"75"	"2020-02-23 22-13-59"	1	1	0.0016	"_"	8e-04	0.0693	0.0709	89998	-63.44	76875	132187	55312	89667	-63.06	73750	119062	45312	89681	-58.44	75000	126250	51250	89681	-58.44	75000	126250	51250	"Centurio senex"
"76"	"2020-02-23 22-13-59"	1	2	0.0016	"0.43280000000000002"	8e-04	0.5021	0.5037	91245	-60.93	78437	140000	61562	90635	-60.06	77187	128750	51562	90933	-55.72	77812	136562	58750	90933	-55.72	77812	136562	58750	"Centurio senex"
"77"	"2020-02-23 22-13-59"	2	1	0.002	"_"	8e-04	0.0797	0.0817	91253	-51.25	77812	109687	31875	81916	-53.02	67812	95625	27812	87500	-46.99	72812	106875	34062	87500	-46.99	72812	106875	34062	"Centurio senex"
"78"	"2020-02-23 22-13-59"	3	1	0.0016	"_"	8e-04	0.0651	0.0667	84054	-63.58	67500	97500	30000	84036	-59.46	65000	96250	31250	84044	-56.66	65937	97187	31250	84044	-56.66	65937	97187	31250	"Centurio senex"
"79"	"2020-02-23 22-13-59"	3	2	0.0012	"3.2800000000000003E-2"	4e-04	0.0979	0.0991	85312	-61.3	73125	1e+05	26875	81863	-62	72187	98750	26562	85606	-59.27	73125	99687	26562	85606	-59.27	73125	99687	26562	"Centurio senex"
"80"	"2020-02-23 22-14-18"	1	1	8e-04	"_"	4e-04	0.0416	0.0424	86255	-63.88	77187	107500	30312	85944	-64.96	76875	98750	21875	86245	-63.26	76875	104062	27187	86245	-63.26	76875	104062	27187	"Centurio senex"
"81"	"2020-02-23 22-14-18"	1	2	0.0012	"7.6399999999999996E-2"	8e-04	0.118	0.1192	85626	-64.46	77187	116250	39062	85302	-63.15	75312	99375	24062	85612	-61.69	76875	109062	32187	85308	-61.25	75625	105625	30000	"Centurio senex"
"82"	"2020-02-23 22-14-18"	1	3	0.0016	"6.8400000000000002E-2"	8e-04	0.1864	0.188	88124	-64.65	78125	119375	41250	86882	-62.31	76562	99687	23125	87804	-58.78	77187	108437	31250	87804	-58.78	77187	108437	31250	"Centurio senex"
"83"	"2020-02-23 22-14-18"	1	4	0.0016	"3.4000000000000002E-2"	8e-04	0.2204	0.222	85948	-63.45	75625	111250	35625	85948	-63.49	72500	98750	26250	85945	-58.7	74375	104062	29687	85945	-58.7	74375	104062	29687	"Centurio senex"
"84"	"2020-02-23 22-14-18"	1	5	0.0016	"0.04"	8e-04	0.2604	0.262	86878	-60.48	76875	110000	33125	84343	-62.53	75000	98125	23125	86573	-57.12	75312	107812	32500	86573	-57.12	75312	107812	32500	"Centurio senex"
"85"	"2020-02-23 22-14-18"	1	6	0.0012	"2.76E-2"	8e-04	0.288	0.2892	84377	-63.13	73437	106562	33125	82841	-61.99	72187	99375	27187	84370	-60.57	73125	105625	32500	82847	-60.21	72500	100312	27812	"Centurio senex"
"86"	"2020-02-23 22-14-18"	1	7	0.0012	"3.4000000000000002E-2"	8e-04	0.322	0.3232	90318	-64.07	74375	113125	38750	86233	-63.92	71562	98750	27187	86256	-61.8	72812	107812	35000	86245	-61.7	72500	98750	26250	"Centurio senex"
"87"	"2020-02-23 22-14-18"	1	8	4e-04	"2.4799999999999999E-2"	0	0.3468	0.3472	87181	-64.36	67812	98750	30937	87182	-64.48	67812	98750	30937	87181	-64.36	67812	98750	30937	87181	-64.36	67812	98750	30937	"Centurio senex"
"88"	"2020-02-23 22-14-18"	1	9	8e-04	"3.9600000000000003E-2"	4e-04	0.3864	0.3872	86250	-62.72	73437	114687	41250	85963	-63.78	70000	107187	37187	85969	-62.12	70625	107500	36875	85969	-62.12	70625	107500	36875	"Centurio senex"
"89"	"2020-02-23 22-14-58"	1	1	4e-04	"_"	0	0.0653	0.0657	88131	-68.37	78437	131250	52812	88121	-67.89	78437	127500	49062	88131	-68.37	78437	131250	52812	88131	-68.37	78437	131250	52812	"Centurio senex"
"90"	"2020-02-23 22-14-58"	1	2	0.0012	"2.1999999999999999E-2"	8e-04	0.0873	0.0885	89065	-67.69	78750	136250	57500	88121	-65.92	77812	118750	40937	89055	-64.8	78750	130625	51875	88132	-64.26	78437	124375	45937	"Centurio senex"
"91"	"2020-02-23 22-14-58"	1	3	0.0016	"0.05"	8e-04	0.1373	0.1389	88135	-69.32	77500	132187	54687	84044	-68.82	75312	104687	29375	85928	-64.8	76875	119062	42187	85928	-64.8	76875	119062	42187	"Centurio senex"
"92"	"2020-02-23 22-14-58"	1	4	0.0016	"6.88E-2"	8e-04	0.2061	0.2077	88130	-64.72	77500	123437	45937	85314	-67.1	75000	98750	23750	85617	-61.32	76562	107187	30625	85617	-61.32	76562	107187	30625	"Centurio senex"
"93"	"2020-02-23 22-14-58"	1	5	8e-04	"0.08"	4e-04	0.2861	0.2869	85629	-68.13	75625	102187	26562	85333	-68.2	73750	100312	26562	85624	-67.02	75312	102187	26875	85624	-67.02	75312	102187	26875	"Centurio senex"
"94"	"2020-02-23 22-14-58"	2	1	4e-04	"_"	0	0.064	0.0644	88740	-67.58	75625	135000	59375	83435	-67.58	75625	133437	57812	88740	-67.58	75625	135000	59375	88740	-67.58	75625	135000	59375	"Centurio senex"
"95"	"2020-02-23 22-14-58"	2	2	4e-04	"2.52E-2"	0	0.0892	0.0896	83744	-66.33	75312	134375	59062	83445	-66.69	73125	131250	58125	83744	-66.33	75312	134375	59062	83744	-66.33	75312	134375	59062	"Centurio senex"
"96"	"2020-02-23 22-14-58"	2	3	4e-04	"7.5999999999999998E-2"	0	0.1652	0.1656	87182	-67.02	75000	134375	59375	84386	-67.51	74687	134062	59375	87182	-67.02	75000	134375	59375	87182	-67.02	75000	134375	59375	"Centurio senex"
"97"	"2020-02-23 22-14-58"	2	4	0.0012	"2.6800000000000001E-2"	4e-04	0.192	0.1932	85317	-64.37	76562	132500	55937	84689	-64.86	75000	115625	40625	85309	-62.19	76562	131562	55000	85309	-62.19	76562	131562	55000	"Centurio senex"
"98"	"2020-02-23 22-14-58"	2	5	0.0012	"3.1600000000000003E-2"	4e-04	0.2236	0.2248	83449	-63.48	75000	128125	53125	83140	-64.39	73750	111562	37812	83443	-61.42	75000	122812	47812	83443	-61.42	75000	122812	47812	"Centurio senex"
